Star Name,Size (in miles),Type (OBAFGKM Scale),Luminosity (Absolute Magnitude),Color,Composition,Image
56    Cet,--,K3III,4.85,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\56____Cet.jpg
Chi Eri,--,G8IIIbCNIV,3.7,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\Chi_Eri.jpg
3    Per,11100000.0,K0IV,5.702,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\3____Per.jpg
48    Cas,--,A3Va,4.54,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\48____Cas.jpg
50    Cas,--,A2V,3.938,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\50____Cas.jpg
47    Cas,--,F0V,5.268,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\47____Cas.jpg
112    Psc,--,G2IV,Unknown,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\112____Psc.jpg
57    Cet,--,M1:III,5.429,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\57____Cet.jpg
52    Cas,--,A1Vn,5.986,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\52____Cas.jpg
53    Cas,--,A0Ib,5.614,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\53____Cas.jpg
4    Per,--,B8III,5.04,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\4____Per.jpg
Alp Hyi,--,F0IV,2.84,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\Alp_Hyi.jpg
49    Cas,--,G8III,5.22,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\49____Cas.jpg
Sig Hyi,--,F5/6IV/V,6.146,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\Sig_Hyi.jpg
Pi  For,--,G8III,5.35,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\Pi__For.jpg
Chi Phe,--,K5IV,5.14,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\Chi_Phe.jpg
10    Ari,--,F8V,5.694,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\10____Ari.jpg
60    Cet,--,A3IV,5.423,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\60____Cet.jpg
61    Cet,--,G5IIIb+F5:IV,5.942,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\61____Cet.jpg
11    Ari,--,B9IV-Vn,6.02,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\11____Ari.jpg
58    And,--,A5IV-V,4.82,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\58____And.jpg
14    Ari,--,F2III,4.977,Unknown,Unknown,C:\Users\Jyoti\OneDrive\Desktop\Coding\SciRe 2024-25 STAHZAI\images\14____Ari.jpg
